,period,period_end,pv_estimate
0,PT30M,2020-09-20T17:00:00.0000000Z,0.0
1,PT30M,2020-09-20T16:30:00.0000000Z,0.0
2,PT30M,2020-09-20T16:00:00.0000000Z,0.0
3,PT30M,2020-09-20T15:30:00.0000000Z,0.0
4,PT30M,2020-09-20T15:00:00.0000000Z,0.0
5,PT30M,2020-09-20T14:30:00.0000000Z,0.0
6,PT30M,2020-09-20T14:00:00.0000000Z,0.0
7,PT30M,2020-09-20T13:30:00.0000000Z,0.0
8,PT30M,2020-09-20T13:00:00.0000000Z,0.0
9,PT30M,2020-09-20T12:30:00.0000000Z,0.0
10,PT30M,2020-09-20T12:00:00.0000000Z,0.0
11,PT30M,2020-09-20T11:30:00.0000000Z,0.005
12,PT30M,2020-09-20T11:00:00.0000000Z,0.012
13,PT30M,2020-09-20T10:30:00.0000000Z,0.023
14,PT30M,2020-09-20T10:00:00.0000000Z,0.039
15,PT30M,2020-09-20T09:30:00.0000000Z,0.046
16,PT30M,2020-09-20T09:00:00.0000000Z,0.042
17,PT30M,2020-09-20T08:30:00.0000000Z,0.074
18,PT30M,2020-09-20T08:00:00.0000000Z,0.508
19,PT30M,2020-09-20T07:30:00.0000000Z,0.336
20,PT30M,2020-09-20T07:00:00.0000000Z,0.081
21,PT30M,2020-09-20T06:30:00.0000000Z,0.242
22,PT30M,2020-09-20T06:00:00.0000000Z,0.642
23,PT30M,2020-09-20T05:30:00.0000000Z,1.145
24,PT30M,2020-09-20T05:00:00.0000000Z,0.781
25,PT30M,2020-09-20T04:30:00.0000000Z,0.601
26,PT30M,2020-09-20T04:00:00.0000000Z,0.673
27,PT30M,2020-09-20T03:30:00.0000000Z,0.653
28,PT30M,2020-09-20T03:00:00.0000000Z,0.581
29,PT30M,2020-09-20T02:30:00.0000000Z,0.334
30,PT30M,2020-09-20T02:00:00.0000000Z,0.454
31,PT30M,2020-09-20T01:30:00.0000000Z,0.345
32,PT30M,2020-09-20T01:00:00.0000000Z,0.225
33,PT30M,2020-09-20T00:30:00.0000000Z,0.1
34,PT30M,2020-09-20T00:00:00.0000000Z,0.014
35,PT30M,2020-09-19T23:30:00.0000000Z,0.0
36,PT30M,2020-09-19T23:00:00.0000000Z,0.0
37,PT30M,2020-09-19T22:30:00.0000000Z,0.0
38,PT30M,2020-09-19T22:00:00.0000000Z,0.0
39,PT30M,2020-09-19T21:30:00.0000000Z,0.0
40,PT30M,2020-09-19T21:00:00.0000000Z,0.0
41,PT30M,2020-09-19T20:30:00.0000000Z,0.0
42,PT30M,2020-09-19T20:00:00.0000000Z,0.0
43,PT30M,2020-09-19T19:30:00.0000000Z,0.0
44,PT30M,2020-09-19T19:00:00.0000000Z,0.0
45,PT30M,2020-09-19T18:30:00.0000000Z,0.0
46,PT30M,2020-09-19T18:00:00.0000000Z,0.0
47,PT30M,2020-09-19T17:30:00.0000000Z,0.0
48,PT30M,2020-09-19T17:00:00.0000000Z,0.0
49,PT30M,2020-09-19T16:30:00.0000000Z,0.0
50,PT30M,2020-09-19T16:00:00.0000000Z,0.0
51,PT30M,2020-09-19T15:30:00.0000000Z,0.0
52,PT30M,2020-09-19T15:00:00.0000000Z,0.0
53,PT30M,2020-09-19T14:30:00.0000000Z,0.0
54,PT30M,2020-09-19T14:00:00.0000000Z,0.0
55,PT30M,2020-09-19T13:30:00.0000000Z,0.0
56,PT30M,2020-09-19T13:00:00.0000000Z,0.0
57,PT30M,2020-09-19T12:30:00.0000000Z,0.0
58,PT30M,2020-09-19T12:00:00.0000000Z,0.0
59,PT30M,2020-09-19T11:30:00.0000000Z,0.009
60,PT30M,2020-09-19T11:00:00.0000000Z,0.147
61,PT30M,2020-09-19T10:30:00.0000000Z,0.809
62,PT30M,2020-09-19T10:00:00.0000000Z,0.751
63,PT30M,2020-09-19T09:30:00.0000000Z,0.923
64,PT30M,2020-09-19T09:00:00.0000000Z,1.284
65,PT30M,2020-09-19T08:30:00.0000000Z,1.933
66,PT30M,2020-09-19T08:00:00.0000000Z,2.557
67,PT30M,2020-09-19T07:30:00.0000000Z,2.865
68,PT30M,2020-09-19T07:00:00.0000000Z,2.853
69,PT30M,2020-09-19T06:30:00.0000000Z,2.4
70,PT30M,2020-09-19T06:00:00.0000000Z,1.691
71,PT30M,2020-09-19T05:30:00.0000000Z,1.491
72,PT30M,2020-09-19T05:00:00.0000000Z,1.219
73,PT30M,2020-09-19T04:30:00.0000000Z,1.16
74,PT30M,2020-09-19T04:00:00.0000000Z,0.923
75,PT30M,2020-09-19T03:30:00.0000000Z,0.55
